iter	Passed	Remaining
965	3813	134
966	3816	130
967	3820	126
968	3824	122
969	3828	118
970	3831	114
971	3835	110
972	3839	106
973	3843	102
974	3847	98
975	3850	94
976	3854	90
977	3858	86
978	3861	82
979	3865	78
980	3869	74
981	3873	71
982	3877	67
983	3881	63
984	3884	59
985	3888	55
986	3892	51
987	3896	47
988	3899	43
989	3903	39
990	3907	35
991	3911	31
992	3914	27
993	3918	23
994	3922	19
995	3926	15
996	3929	11
997	3933	7
998	3938	3
999	3941	0
